0.6	1.1
1.11022302463e-16	1.1
0.8	1.1
1	1.1
-6.1	1.1
-3.4	1.1
0.8	1.1
0.9	1.1
0.7	1.1
-19.8	1.1
-30.1	1.1
-11.5	1.1
-1.7	1.1
-7.7	1.1
0.7	1.1
-30.1	1.1
-30.1	1.1
-30.1	1.1
0.2	1.1
0.6	1.1
-28.6	1.1
1	1.1
-0.5	1.1
-1.3	1.1
-1.8	1.1
0.4	1.1
-1.7	1.1
1	1.1
-12.7	1.1
1	1.1
1	1.1
-30.1	1.1
-30.1	1.1
-30.1	1.1
-30.1	1.1
-8.7	1.1
0.6	1.1
-30.1	1.1
-7.2	1.1
0.4	1.1
-0.2	1.1
-0.3	1.1
-3.5	1.1
-30.1	1.1
-3.0	1.1
-3.3	1.1
-0.3	1.1
-10.4	1.1
1	1.1
-2.3	1.1
-12.9	1.1
-0.9	1.1
-1.7	1.1
-3.8	1.1
-0.2	1.1
-1.4	1.1
1	1.1
-1.1	1.1
0.5	1.1
-1.1	1.1
-1.5	1.1
-5.7	1.1
1	1.1
-30.1	1.1
-3.3	1.1
-0.2	1.1
-5.9	1.1
-17.2	1.1
-3.2	1.1
-1.8	1.1
-0.3	1.1
-1.5	1.1
0.8	1.1
-0.9	1.1
-8.2	1.1
-0.4	1.1
-3.9	1.1
-1.9	1.1
0.1	1.1
1	1.1
1.11022302463e-16	1.1
1	1.1
1	1.1
-0.3	1.1
-3.5	1.1
0.8	1.1
0.7	1.1
1	1.1
-0.6	1.1
1	1.1
1	1.1
-1.9	1.1
-0.2	1.1
-0.7	1.1
-1.6	1.1
-3.9	1.1
0.6	1.1
1	1.1
-4.0	1.1
0.5	1.1
1	1.1
0.4	1.1
1.11022302463e-16	1.1
-10.4	1.1
-1.5	1.1
0.8	1.1
0.8	1.1
0.9	1.1
-15.5	1.1
-5.7	1.1
0.7	1.1
-0.1	1.1
-5.9	1.1
-5.1	1.1
-4.5	1.1
1	1.1
1	1.1
-0.8	1.1
1	1.1
1	1.1
1.11022302463e-16	1.1
-1.9	1.1
0.9	1.1
0.5	1.1
-4.1	1.1
-1.7	1.1
-1.7	1.1
-0.4	1.1
0.3	1.1
0.2	1.1
0.9	1.1
1	1.1
0.1	1.1
-0.7	1.1
0.3	1.1
1	1.1
-8.7	1.1
-12.3	1.1
0.7	1.1
0.4	1.1
0.6	1.1
0.1	1.1
0.8	1.1
-0.3	1.1
0.9	1.1
-30.1	1.1
1	1.1
-1.0	1.1
1	1.1
0.7	1.1
-2.8	1.1
1	1.1
1	1.1
1	1.1
0.6	1.1
0.7	1.1
1	1.1
0.6	1.1
1	1.1
0.8	1.1
0.1	1.1
0.8	1.1
1	1.1
1	1.1
1	1.1
-0.3	1.1
1	1.1
0.7	1.1
0.9	1.1
0.8	1.1
0.8	1.1
0.7	1.1
0.8	1.1
-0.1	1.1
0.9	1.1
0.9	1.1
0.7	1.1
1	1.1
-5.2	1.1
0.8	1.1
-8.2	1.1
-0.8	1.1
1	1.1
